[[[ Short Speed Tests ]]]

Bulk results are in bytes/cycle, short results are in cycles/hash

Name                             Bulk     1-8 bytes    9-16 bytes  17-24 bytes  28-32 bytes  
----------------------------  ---------  -----------  -----------  -----------  -----------  
donothing-32                   9999.99        0.00         0.00         0.00         0.00  
donothing-64                   9999.99        0.00         0.00         0.00         0.00  
donothing-128                  9999.99        0.00         0.00         0.00         0.00  
donothing-256                  9999.99        0.00         0.00         0.00         0.00  
donothingOAAT-32                  3.35       29.96        49.27        57.39        64.87  
donothingOAAT-64                  3.39       29.96        49.56        57.42        64.78  
donothingOAAT-128                 3.38       29.89        49.07        57.35        64.81  
badhash                           0.23       56.23        91.36       126.47       161.00  
sum8hash                          3.36       20.50        39.70        47.72        55.84  
sum32hash                        26.72       12.99        14.97        17.66        37.56  
o1hash                         9999.99       17.62        13.00        13.00        13.00  
aesrng-32                      9999.99       19.77        22.38         9.58        23.47  
aesrng-64                      9999.99       19.91        23.11        21.78        22.97  
aesrng-128                     9999.99       19.12        22.41        21.39        20.55  
aesrng-160                     3030.32       85.00        85.00        85.00        85.00  
aesrng-224                     2715.07       91.56        92.30        91.17        92.34  
aesrng-256                     2743.67       91.88        92.14        91.63        91.83  

ascon-CXOF-32                     0.05      388.97       542.99       697.68       853.52  
ascon-CXOFa-32                    0.08      341.97       441.93       548.21       652.61  
ascon-CXOF-64                     0.05      392.39       547.41       702.13       856.17  
ascon-CXOFa-64                    0.08      335.89       440.81       547.07       651.75  
ascon-CXOF-128                    0.05      548.06       700.46       856.05      1011.01  
ascon-CXOFa-128                   0.08      442.81       548.86       655.08       759.20  
ascon-CXOF-160                    0.05      721.91       879.32      1031.65      1185.83  
ascon-CXOFa-160                   0.08      563.82       668.65       773.35       880.21  
ascon-CXOF-224                    0.05      892.10      1048.58      1202.95      1356.45  
ascon-CXOFa-224                   0.08      684.84       789.84       890.52      1007.06  
ascon-CXOF-256                    0.05      893.17      1046.90      1202.96      1357.77  
ascon-CXOFa-256                   0.08      684.28       790.17       897.73      1004.80  
blake2b-256.64                    0.26      585.06       581.53       583.72       577.74  
blake2s-256.64                    0.18      432.69       425.33       426.00       430.18  
blake2b-128                       0.26      588.69       585.87       590.47       578.21  
blake2s-128                       0.18      434.46       427.77       426.83       430.82  
blake2b-160                       0.26      584.17       580.97       582.91       578.35  
blake2s-160                       0.18      433.79       428.86       428.66       429.98  
blake2b-224                       0.26      592.55       588.89       590.97       586.46  
blake2s-224                       0.18      446.50       439.06       439.50       443.69  
blake2b-256                       0.26      583.80       584.78       584.39       581.88  
blake2s-256                       0.18      432.79       428.90       428.39       430.95  
blake3                            0.42      313.42       316.00       320.00       322.50  
chaskey-8.32                      0.37       82.97       104.56       114.90       147.62  
chaskey-12.32                     0.25      102.80       142.36       155.85       205.62  
chaskey-8.64                      0.37       83.51       106.59       116.14       146.51  
chaskey-12.64                     0.25      104.57       144.62       157.15       208.33  
chaskey-8                         0.37       89.75       113.92       122.41       158.36  
chaskey-12                        0.25      110.81       152.59       164.16       216.54  
HighwayHash-64                    2.93       76.68        76.22        76.13        92.93  
HighwayHash-128                   2.92      102.92       102.29       102.97       118.86  
HighwayHash-256                   2.88      155.76       155.83       156.00       171.59  
MD5.32                            0.14      523.94       522.36       521.85       521.74  
MD5.64                            0.14      521.00       524.07       521.38       520.22  
MD5                               0.14      521.13       522.94       521.58       521.19  
RIPEMD-128                        0.15      482.42       482.23       480.81       481.24  
RIPEMD-160                        0.10      706.89       702.03       704.41       699.05  
RIPEMD-256                        0.13      565.68       555.35       562.95       562.74  
SHA-1.32                          0.48      517.54       458.41       397.97       328.29  
SHA-1.64                          0.48      532.41       463.10       391.47       324.69  
SHA-1                             0.48      532.66       463.10       391.47       324.47  
SHA-2-224.64                      0.45      431.41       388.61       342.35       296.50  
SHA-2-256.64                      0.45      431.52       388.61       342.35       296.50  
SHA-2-224                         0.45      340.55       324.55       293.64       262.31  
SHA-2-256                         0.45      452.75       407.75       361.50       315.94  
SHA-3-256.64                      0.05     2966.71      2972.40      2970.91      2983.70  
SHA-3                             0.05     2969.68      2977.35      2981.70      2971.65  
HalfSipHash                       0.34       69.19        91.93       115.47       138.43  
SipHash-1-3.folded                0.61      106.66       120.25       132.57       145.68  
SipHash-2-4.folded                0.32      142.79       166.78       193.99       219.23  
SipHash-1-3                       0.61      104.96       118.96       131.27       144.02  
SipHash-2-4                       0.32      140.89       165.07       192.17       217.85  
VHASH.32                          5.09       94.00        95.25        95.45       100.85  
VHASH                             5.09       93.96        95.26        95.45       100.81  

a5hash-32                         2.38       24.43        26.34        26.77        32.48  
a5hash                            2.66       24.61        27.25        28.26        32.83  
a5hash-128.64                     6.92       24.75        26.86        21.00        36.97  
a5hash-128                        6.92       30.71        32.35        27.27        38.34  
Abseil32                          1.84       50.81        43.00        56.10        57.97  
Abseil64-city                     4.03       23.61        25.78        25.60        64.11  
Abseil64-llh                      7.42       23.16        25.54        25.25        32.98  
aesnihash-majek                   1.78       58.79        63.76        68.93        73.10  
aesnihash-peterrk                 9.45       32.03        37.50        38.25        45.41  
AquaHash                         15.98       34.66        41.21        42.16        45.42  
beamsplitter                      0.18      889.01      1043.37       847.06       975.50  
ChibiHash2                        6.03       31.02        34.78        38.59        41.03  
CityHash-32                       1.92       48.96        37.67        49.52        51.21  
CityHash-64                       4.75       55.82        56.82        56.99        67.81  
CityHashCrc-128.seed1             5.99       73.66        73.12        69.09        72.73  
CityHashCrc-128.seed2             6.00       74.35        73.54        69.73        72.63  
CityHashCrc-128.seed3             5.99       74.04        73.25        69.06        72.32  
CityHashCrc-256                   6.00      177.09       194.91       178.14       194.74  
CLhash                            7.36       50.35        48.94        50.20        49.36  
CLhash.bitmix                     7.33       63.23        61.92        63.34        61.94  
Crap8                             1.00       29.76        37.56        45.27        53.56  
